date,Xactus Mortgage Intent Index,Xactus MII 4-Week Avg,Xactus MII 13-Week Avg
2024-01-05,96.1,,
2024-01-12,123.8,,
2024-01-19,114.2,,
2024-01-26,125.8,114.97,
2024-02-02,129.7,123.38,
2024-02-09,137.7,126.85,
2024-02-16,124.6,129.45,
2024-02-23,127.2,129.8,
2024-03-01,132.6,130.52,
2024-03-08,141.9,131.57,
2024-03-15,137.6,134.83,
2024-03-22,137.6,137.43,
2024-03-29,128.9,136.5,127.52
2024-04-05,129.9,133.5,130.12
2024-04-12,135.5,132.97,131.02
2024-04-19,135.9,132.55,132.68
2024-04-26,131.7,133.25,133.14
2024-05-03,133.0,134.02,133.39
2024-05-10,131.4,133.0,132.91
2024-05-17,125.3,130.35,132.96
2024-05-24,122.4,128.03,132.59
2024-05-31,105.5,121.15,130.51
2024-06-07,129.2,120.6,129.53
2024-06-14,128.6,121.43,128.84
2024-06-21,119.2,120.62,127.42
2024-06-28,126.5,125.87,127.24
2024-07-05,93.9,117.05,124.47
2024-07-12,123.8,115.85,123.57
2024-07-19,119.1,115.82,122.28
2024-07-26,122.3,114.77,121.55
2024-08-02,123.4,122.15,120.82
2024-08-09,133.3,124.52,120.96
2024-08-16,130.1,127.28,121.33
2024-08-23,129.0,128.95,121.84
2024-08-30,130.0,130.6,123.72
2024-09-06,121.3,127.6,123.12
2024-09-13,143.4,130.93,124.25
2024-09-20,148.9,135.9,126.54
2024-09-27,145.0,139.65,127.96
2024-10-04,139.5,144.2,131.47
2024-10-11,129.3,140.68,131.89
2024-10-18,124.4,134.55,132.3
2024-10-25,124.1,129.33,132.44
2024-11-01,113.7,122.88,131.69
2024-11-08,115.5,119.42,130.32
2024-11-15,118.8,118.03,129.45
2024-11-22,119.1,116.78,128.69
2024-11-29,74.4,106.95,124.42
2024-12-06,118.5,107.7,124.2
2024-12-13,112.8,106.2,121.85
2024-12-20,100.6,101.57,118.13
2024-12-27,54.4,96.57,111.16
2025-01-03,88.9,89.17,107.27
2025-01-10,136.9,95.2,107.85
2025-01-17,133.5,103.43,108.55
2025-01-24,118.5,119.45,108.12
2025-01-31,133.6,130.62,109.65
2025-02-07,140.0,131.4,111.54
2025-02-14,133.4,131.38,112.66
2025-02-21,131.9,134.72,113.65
2025-02-28,144.3,137.4,119.02
2025-03-07,151.5,140.28,121.56
2025-03-14,150.7,144.6,124.48
2025-03-21,148.1,148.65,128.13
2025-03-28,150.8,150.27,135.55
2025-04-04,153.4,150.75,140.51
2025-04-11,148.5,150.2,141.4
2025-04-18,139.0,147.93,141.82
2025-04-25,134.5,143.85,143.05
2025-05-02,139.3,140.32,143.49
2025-05-09,142.9,138.93,143.72
2025-05-16,136.0,138.18,143.92
2025-05-23,133.1,137.83,144.01
2025-05-30,112.8,131.2,141.58
2025-06-06,137.2,129.78,140.48
2025-06-13,132.8,128.97,139.11
2025-06-20,121.5,126.08,137.06
2025-06-27,130.6,130.53,135.51
2025-07-04,109.2,123.52,132.11
2025-07-11,136.6,124.47,131.19
2025-07-18,135.7,128.02,130.94
2025-07-25,131.3,128.2,130.69
2025-08-01,128.7,133.07,129.88
2025-08-08,134.7,132.6,129.25
2025-08-15,134.3,132.25,129.12
2025-08-22,129.5,131.8,128.84
2025-08-29,126.1,131.15,129.86
2025-09-05,116.4,126.57,128.26
2025-09-12,142.9,128.72,129.04
2025-09-19,142.2,131.9,130.63
2025-09-26,133.7,133.8,130.87
2025-10-03,129.9,137.18,132.46
2025-10-10,128.7,133.62,131.85
2025-10-17,129.2,130.38,131.35
2025-10-24,129.1,129.22,131.18
2025-10-31,127.7,128.68,131.11
2025-11-07,135.6,130.4,131.18
2025-11-14,131.2,130.9,130.94
2025-11-21,129.8,131.07,130.96
2025-11-28,78.7,118.82,127.32
2025-12-05,121.3,115.25,127.69
2025-12-12,117.7,111.88,125.75
2025-12-19,106.6,106.07,123.02
2025-12-26,55.9,100.38,117.03
2026-01-02,81.9,90.53,113.34
2026-01-09,144.6,97.25,114.56
2026-01-16,151.3,108.42,116.26
2026-01-23,133.0,127.7,116.56
2026-01-30,128.0,139.22,116.58
2026-02-06,136.8,137.28,116.68
2026-02-13,139.8,134.4,117.34
2026-02-20,140.6,136.3,118.17
2026-02-27,153.5,142.68,123.92
2026-03-06,159.1,148.25,126.83
2026-03-13,155.2,152.1,129.72
2026-03-20,146.0,153.45,132.75
2026-03-27,143.1,150.85,139.45
2026-04-03,138.3,145.65,143.79
2026-04-10,140.4,141.95,143.47
2026-04-17,146.0,141.95,143.06
2026-04-24,140.3,141.25,143.62
2026-05-01,135.4,140.53,144.19
